Ring,Tree,treatment,year,dbh
1,102,eCO2,2019,19.35
1,103,eCO2,2019,27.45
1,105,eCO2,2019,25.1
1,106,eCO2,2019,17.8
1,107,eCO2,2019,16.7
1,108,eCO2,2019,18.6
1,109,eCO2,2019,42.3
1,110,eCO2,2019,18.4
1,111,eCO2,2019,35.4
1,112,eCO2,2019,24.05
1,113,eCO2,2019,21.38
1,114,eCO2,2019,19.03
1,116,eCO2,2019,35.3
1,117,eCO2,2019,32.3
1,118,eCO2,2019,23.93
1,119,eCO2,2019,27.75
1,120,eCO2,2019,21.03
1,121,eCO2,2019,17.83
1,122,eCO2,2019,33.8
1,123,eCO2,2019,20.15
2,201,aCO2,2019,21.03
2,202,aCO2,2019,26.53
2,203,aCO2,2019,28.53
2,205,aCO2,2019,23.95
2,207,aCO2,2019,30.2
2,208,aCO2,2019,NA
2,209,aCO2,2019,57.45
2,214,aCO2,2019,NA
2,216,aCO2,2019,NA
2,217,aCO2,2019,NA
2,222,aCO2,2019,16.6
2,223,aCO2,2019,24.2
2,225,aCO2,2019,24.5
3,301,aCO2,2019,29.1
3,302,aCO2,2019,30.3
3,304,aCO2,2019,17.63
3,305,aCO2,2019,28.25
3,306,aCO2,2019,20.08
3,307,aCO2,2019,22.73
3,309,aCO2,2019,24.35
3,311,aCO2,2019,28.55
3,312,aCO2,2019,20.28
3,313,aCO2,2019,19.35
3,315,aCO2,2019,25.38
3,316,aCO2,2019,24.45
3,317,aCO2,2019,24.33
3,319,aCO2,2019,24.05
3,320,aCO2,2019,28.83
3,321,aCO2,2019,28.9
3,324,aCO2,2019,36.55
4,401,eCO2,2019,16.23
4,402,eCO2,2019,20.08
4,403,eCO2,2019,21.73
4,405,eCO2,2019,NA
4,406,eCO2,2019,NA
4,407,eCO2,2019,17.73
4,408,eCO2,2019,29.48
4,409,eCO2,2019,16.85
4,411,eCO2,2019,20.3
4,413,eCO2,2019,23.4
4,414,eCO2,2019,22.45
4,415,eCO2,2019,16.28
4,416,eCO2,2019,15.68
4,417,eCO2,2019,26.43
4,420,eCO2,2019,22.8
4,422,eCO2,2019,21.8
4,423,eCO2,2019,22.6
4,424,eCO2,2019,24.45
4,425,eCO2,2019,15.68
4,426,eCO2,2019,15.73
5,501,eCO2,2019,28.7
5,502,eCO2,2019,30.13
5,503,eCO2,2019,39.24
5,504,eCO2,2019,25.38
5,505,eCO2,2019,26.35
5,508,eCO2,2019,20.13
5,509,eCO2,2019,30.55
5,511,eCO2,2019,26.98
5,513,eCO2,2019,39.15
5,514,eCO2,2019,25.93
5,515,eCO2,2019,24.15
5,519,eCO2,2019,22.68
5,522,eCO2,2019,21.6
5,523,eCO2,2019,23.65
5,525,eCO2,2019,27.8
5,526,eCO2,2019,21
5,530,eCO2,2019,26.28
5,533,eCO2,2019,29.85
6,603,aCO2,2019,55.43
6,607,aCO2,2019,45.43
6,610,aCO2,2019,26.1
6,612,aCO2,2019,32.68
6,613,aCO2,2019,19.98
6,614,aCO2,2019,35.78
6,618,aCO2,2019,22.08
6,620,aCO2,2019,22.88
6,621,aCO2,2019,14.98
1,102,eCO2,2020,19.48
1,103,eCO2,2020,27.74
1,105,eCO2,2020,24.94
1,106,eCO2,2020,17.64
1,107,eCO2,2020,16.86
1,108,eCO2,2020,18.49
1,109,eCO2,2020,42.19
1,110,eCO2,2020,18.43
1,111,eCO2,2020,35.71
1,112,eCO2,2020,23.81
1,113,eCO2,2020,21.11
1,114,eCO2,2020,19.06
1,116,eCO2,2020,34.83
1,117,eCO2,2020,32.37
1,118,eCO2,2020,23.73
1,119,eCO2,2020,28.5
1,120,eCO2,2020,20.67
1,121,eCO2,2020,17.64
1,122,eCO2,2020,33.82
1,123,eCO2,2020,20.16
2,201,aCO2,2020,21.38
2,202,aCO2,2020,26.57
2,203,aCO2,2020,28.44
2,205,aCO2,2020,23.94
2,207,aCO2,2020,30.28
2,208,aCO2,2020,NA
2,209,aCO2,2020,58.01
2,214,aCO2,2020,NA
2,216,aCO2,2020,NA
2,217,aCO2,2020,NA
2,222,aCO2,2020,16.62
2,223,aCO2,2020,24.42
2,225,aCO2,2020,25.12
3,301,aCO2,2020,29.16
3,302,aCO2,2020,30.19
3,304,aCO2,2020,17.61
3,305,aCO2,2020,27.77
3,306,aCO2,2020,20.11
3,307,aCO2,2020,22.88
