Ring,Tree,treatment,year,mass_2019,mass_2021,mass_2022,mass_2023
1,102,eCO2,2019,119.4,120.9,122.3,123.1
1,103,eCO2,2019,270.7,270.4,273.9,283.1
1,105,eCO2,2019,219.5,216.1,221.8,222.6
1,106,eCO2,2019,98.2,93.4,93.4,94.1
1,107,eCO2,2019,84.6,84.8,87.5,89.1
1,108,eCO2,2019,108.9,109,110,108.7
1,109,eCO2,2019,744.6,737.6,741.3,747
1,110,eCO2,2019,106.2,106,103.7,104.4
1,111,eCO2,2019,490.8,510.5,528.3,536.8
1,112,eCO2,2019,198.6,191.2,193.7,192.5
1,113,eCO2,2019,150.8,145.4,147.9,149
1,114,eCO2,2019,114.9,113.2,113.6,113.9
1,116,eCO2,2019,487.6,484.7,509.2,516.8
1,117,eCO2,2019,396.1,391.8,394.9,394.4
1,118,eCO2,2019,196.3,194.2,201,205.1
1,119,eCO2,2019,277.7,301.9,314.6,319.4
1,120,eCO2,2019,145.1,138.7,139.2,139.8
1,121,eCO2,2019,98.6,94,93,93.1
1,122,eCO2,2019,440.5,446.6,461.8,469.7
1,123,eCO2,2019,131.3,130.2,130.4,131.9
2,201,aCO2,2019,145.1,155.7,156.2,157
2,202,aCO2,2019,249.9,255,256.8,257
2,203,aCO2,2019,296.3,295,294.8,295.3
2,205,aCO2,2019,196.7,195.2,195,195.8
2,207,aCO2,2019,338.4,340.3,343.7,346.1
2,208,aCO2,2019,250.4,248.8,249.3,250.1
2,209,aCO2,2019,1524.1,1592,1629.8,1662.9
2,214,aCO2,2019,192.5,200.2,202.1,202.5
2,216,aCO2,2019,169.1,168.9,169.3,169.8
2,217,aCO2,2019,167,165.6,163.2,162.1
2,222,aCO2,2019,83.4,85.2,85.2,85.7
2,223,aCO2,2019,201.6,208.2,207.8,209.4
2,225,aCO2,2019,207.5,220.8,221.4,222.4
3,301,aCO2,2019,310.3,327.3,334.5,344.8
3,302,aCO2,2019,341.1,354.4,357.9,367.2
3,304,aCO2,2019,96,98.2,97.2,97.5
3,305,aCO2,2019,289.5,285,285.2,287.6
3,306,aCO2,2019,130.2,135,134.7,135.9
3,307,aCO2,2019,174.1,180.6,183,185.9
3,309,aCO2,2019,204.5,215.5,215.9,218.1
3,311,aCO2,2019,296.7,318.8,309.5,318.1
3,312,aCO2,2019,133.3,136.2,135.6,135.8
3,313,aCO2,2019,119.4,123.5,124.5,127.7
3,315,aCO2,2019,225.3,239.5,241.6,247.7
3,316,aCO2,2019,206.5,214.7,216.1,217.5
3,317,aCO2,2019,204.1,217.5,218.3,219.7
3,319,aCO2,2019,198.6,208,210.4,216.7
3,320,aCO2,2019,303.6,338.2,343.4,349.3
3,321,aCO2,2019,305.3,312,317.6,326.2
3,324,aCO2,2019,529,542.3,562,586.9
4,401,eCO2,2019,79.1,81,83.4,85.6
4,402,eCO2,2019,130.2,125.7,126.2,127.2
4,403,eCO2,2019,156.7,165.6,177.1,179.1
4,405,eCO2,2019,85.6,83.1,83.4,83.7
4,406,eCO2,2019,107.2,109,109.4,111.9
4,407,eCO2,2019,97.3,94.8,94.5,94.5
4,408,eCO2,2019,319.9,327.8,339.8,346.9
4,409,eCO2,2019,86.4,86.3,88.5,88.9
4,411,eCO2,2019,133.6,130.5,131.9,132.5
4,413,eCO2,2019,186.3,187.4,188.7,189.3
4,414,eCO2,2019,169.1,174.4,174.6,175.3
4,415,eCO2,2019,79.7,79.6,79.7,79.8
4,416,eCO2,2019,73,74.7,75.2,76
4,417,eCO2,2019,247.7,242.9,244.2,246.2
4,420,eCO2,2019,175.3,181.5,184.6,185.6
4,422,eCO2,2019,157.9,164.2,166.6,168
4,423,eCO2,2019,171.7,173.3,176.4,178.6
4,424,eCO2,2019,206.5,228.2,239.3,248.2
4,425,eCO2,2019,73,73,74,75.7
4,426,eCO2,2019,73.6,76.8,77.7,78.1
5,501,eCO2,2019,300.4,313,318.8,320.6
5,502,eCO2,2019,336.6,341.9,348.8,353.6
5,503,eCO2,2019,624.6,617.9,616.8,615.3
5,504,eCO2,2019,225.3,234.1,239.5,241.6
5,505,eCO2,2019,246,254.1,255,257
5,508,eCO2,2019,131,128.3,129,129.5
5,509,eCO2,2019,347.7,354.7,350.9,352.5
5,511,eCO2,2019,260,261.5,264.3,267.9
5,513,eCO2,2019,621.2,624.2,623.5,622.7
5,514,eCO2,2019,236.9,225.3,225.5,227.4
5,515,eCO2,2019,200.6,203.7,202.7,203.7
5,519,eCO2,2019,173.2,180.4,183,184.5
5,522,eCO2,2019,154.5,151.7,152,153.3
5,523,eCO2,2019,191,204.7,206.5,207.6
5,525,eCO2,2019,278.8,289.3,296.3,297.2
5,526,eCO2,2019,144.6,148.2,148.9,149
5,530,eCO2,2019,244.5,251.5,252.4,254.4
5,533,eCO2,2019,329.3,336.9,341.6,341.9
6,603,aCO2,2019,1401.6,1421.2,1417.1,1427.8
6,607,aCO2,2019,879.9,891.3,892.7,906.4
6,610,aCO2,2019,240.6,247.9,247.7,251.5
6,612,aCO2,2019,407.1,411.8,412.4,413.2
6,613,aCO2,2019,128.7,130.4,130.7,130.4
6,614,aCO2,2019,503.3,504.6,506.9,514.2
6,618,aCO2,2019,162.6,165.9,165.8,165.9
6,620,aCO2,2019,176.8,183.7,184.6,186.3
6,621,aCO2,2019,65.6,NA,66,67.4
