uid,namedLocation,domainID,siteID,plotID,plotType,collectDate,sampleID,cnSampleID,analysisDate,sampleType,d15N,d13C,cnIsotopeQF,isotopeAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF
"105eec7b-b6ba-4a1f-af78-27cb0f455799","WOOD_043.basePlot.cfc","D09","WOOD","WOOD_043","tower","2016-06-27T16:42Z","xZ/4LGAq2g5RAbC90CFX05C/iONIwkH2V5OYKgGohSc=","xZ/4LGAq2g5RAbC90CFX05C/iONIwkH2BB92Whe2X2g=","2016-08-15","vegetation",0.6,-26.7,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"9574cb02-692a-42be-b951-29a34682e947","WOOD_044.basePlot.cfc","D09","WOOD","WOOD_044","tower","2016-06-27T17:10Z","xZ/4LGAq2g5NM+G6kbU3sw96yUdUfvrt82PnLRxK9Pg=","xZ/4LGAq2g5NM+G6kbU3sw96yUdUfvrtJXQoXlI+Yis=","2016-08-15","vegetation",-1.8,-16.4,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"be3627df-5100-426d-8ae8-75b34c6260fe","WOOD_045.basePlot.cfc","D09","WOOD","WOOD_045","tower","2016-06-27T17:30Z","xZ/4LGAq2g625hRtYPCK3nFi3gGfPNepkwWPNpIfYFs=","xZ/4LGAq2g625hRtYPCK3nFi3gGfPNepMp+vG04NErU=","2016-08-15","vegetation",-0.4,-25.4,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"3f969687-6c8d-4d6d-ad65-c87e546e921e","WOOD_042.basePlot.cfc","D09","WOOD","WOOD_042","tower","2016-06-27T17:44Z","xZ/4LGAq2g7s0BFr7jQjhrHnd3mW1OXxTX6YMO8XwPw=","xZ/4LGAq2g7s0BFr7jQjhrHnd3mW1OXxcX27SIVg/qo=","2016-08-15","vegetation",2.9,-27.8,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"8a6577bb-cd4e-4893-8087-1e8a64adc2d2","WOOD_001.basePlot.cfc","D09","WOOD","WOOD_001","distributed","2016-06-27T19:12Z","xZ/4LGAq2g67m1KX+4fS/U/0naalVs0/l+KfaPe5Wjo=","xZ/4LGAq2g67m1KX+4fS/U/0naalVs0/82EZ9SaZDnQ=","2016-08-22","vegetation",0.8,-26.0,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"f695a229-be3f-4e14-b06d-7de26ae6c82f","WOOD_003.basePlot.cfc","D09","WOOD","WOOD_003","distributed","2016-06-27T19:27Z","xZ/4LGAq2g4AJlIzew7Wf/XwxWTru/tQ6ZjM6mutTUM=","xZ/4LGAq2g4AJlIzew7Wf/XwxWTru/tQobxFen2xVo0=","2016-08-15","vegetation",-1.9,-26.1,"0",,2,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"0427bbbe-a7b1-4b9b-96f2-a963fb6a5f74","WOOD_003.basePlot.cfc","D09","WOOD","WOOD_003","distributed","2016-06-27T19:27Z","xZ/4LGAq2g4AJlIzew7Wf/XwxWTru/tQ6ZjM6mutTUM=","xZ/4LGAq2g4AJlIzew7Wf/XwxWTru/tQobxFen2xVo0=","2016-08-15","vegetation",-2.1,-26.1,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"f876a9bf-77ff-401b-967d-fa9b9316566f","WOOD_004.basePlot.cfc","D09","WOOD","WOOD_004","distributed","2016-06-27T20:29Z","xZ/4LGAq2g5Rur2MuF0BDdvtUvI2rTmpGu++T/p6/ws=","xZ/4LGAq2g5Rur2MuF0BDdvtUvI2rTmpOaANbcuqLyc=","2016-08-15","vegetation",0.6,-26.6,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"27fbc038-a93f-416d-9227-a3750d08e278","WOOD_023.basePlot.cfc","D09","WOOD","WOOD_023","distributed","2016-06-27T20:30Z","xZ/4LGAq2g6CJ8QaAy8llpSgItxwBWxDm1rOJ4cSVMo=","xZ/4LGAq2g6CJ8QaAy8llpSgItxwBWxDs0q48nm7Lhc=","2016-08-15","vegetation",6.2,-27.9,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"a487a62d-68ad-4f72-90b7-a2e7b6c17f42","WOOD_007.basePlot.cfc","D09","WOOD","WOOD_007","distributed","2016-06-28T14:46Z","xZ/4LGAq2g6obzXPzJjcva8hhqvo4PiSfXYArcdTIMY=","xZ/4LGAq2g6obzXPzJjcva8hhqvo4PiSnOWxga8XBvk=","2016-08-15","vegetation",-2.1,-18.7,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"84d31e31-cab3-47fc-98bf-0cdc83447694","WOOD_021.basePlot.cfc","D09","WOOD","WOOD_021","distributed","2016-06-28T15:08Z","xZ/4LGAq2g6Tiw5iTs+UINI2H1BeT5B+LYqXCEoT9N4=","xZ/4LGAq2g6Tiw5iTs+UINI2H1BeT5B+mTjO6Nf1MLg=","2016-08-15","vegetation",2.8,-27.5,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
"d0fef250-4f37-4bc5-9965-d9eae4bceb58","WOOD_006.basePlot.cfc","D09","WOOD","WOOD_006","distributed","2016-06-28T15:40Z","xZ/4LGAq2g63XXbJ/Ii4dHcg0n0X2zu/zdKkjj1cjw0=","xZ/4LGAq2g63XXbJ/Ii4dHcg0n0X2zu/YFCaujKyAtU=","2016-08-15","vegetation",-0.5,-26.7,"0",,1,,"University of Wyoming Stable Isotope Facility","010 EA-IRMS organic d15n, d13c, C% & N%",,"rHBrhUbTwVSLtfc5tc9S18/eJGkjVJIj","L/6ZjMlRllRQ+sQbi+7sFw==",
