"StateCode","Division","YearMonth","PCP","TAVG","PDSI","PHDI","ZNDX","PMDI","CDD","HDD","SP01","SP02","SP03","SP06","SP09","SP12","SP24","TMIN","TMAX","Date"
5,1,199101,0.31,26.9,-0.19,1.72,-0.52,1.33,0,1181,-0.43,-0.46,0.41,0.69,0.97,1.1,0.49,14.1,39.7,1991-01-01
5,1,199102,0.15,37.4,-0.79,0.93,-1.85,-0.31,0,773,-1.85,-1.78,-1.17,0.86,0.66,0.82,0.33,20.8,54.1,1991-02-01
5,1,199103,1.21,39.8,-0.72,0.82,-0.03,-0.39,0,781,0.6,-0.16,-0.36,0.15,1.26,0.8,0.56,25.6,54,1991-03-01
5,1,199104,0.99,47.2,-0.95,-0.95,-0.91,-0.95,0,534,-0.31,-0.03,-0.47,-0.22,0.21,0.6,0.68,32.3,62,1991-04-01
5,1,199105,1.33,58.9,-1.72,-1.72,-2.62,-1.72,16,205,-0.61,-0.77,-0.49,-0.89,0.15,0.23,0.5,43.5,74.3,1991-05-01
5,1,199106,2.15,67.8,-1.71,-1.71,-0.49,-1.71,125,41,0.63,-0.07,-0.35,-0.49,-0.21,0.67,0.43,52.9,82.7,1991-06-01
5,1,199107,3.14,70.2,0.45,-1.08,1.36,-0.33,168,7,0.76,0.87,0.34,-0.06,0.07,0.3,0.72,55.8,84.7,1991-07-01
5,1,199108,3.34,69,1.36,1.36,2.86,1.36,137,13,1.3,1.32,1.31,0.53,0.3,0.85,0.94,55.1,82.9,1991-08-01
5,1,199109,1.15,60.9,1.13,1.13,-0.27,0.89,23,146,0.08,0.95,1.09,0.41,0.28,0.41,0.81,46.3,75.6,1991-09-01
5,1,199110,0.66,50.7,0.83,0.83,-0.56,0.2,0,443,-0.22,-0.21,0.59,0.51,0.22,0.29,0.82,33.8,67.6,1991-10-01
5,1,199111,2.07,33.2,2.27,2.27,4.57,2.27,0,954,2.19,1.22,0.95,1.41,0.82,0.61,1.28,21.3,45.1,1991-11-01
5,1,199112,0.73,30.4,2.41,2.41,1.13,2.41,0,1073,0.65,2.23,1.26,1.44,0.82,0.68,1.44,18.6,42.3,1991-12-01
5,1,199201,0.33,30.8,-0.01,2.15,-0.04,2.07,0,1060,-0.34,0.24,2.08,1.33,1.05,0.68,1.27,17.1,44.5,1992-01-01
5,1,199202,0.39,36.4,-0.19,1.75,-0.53,1.37,0,801,-0.29,-0.59,-0.08,0.76,1.31,0.75,1.14,22.9,50,1992-02-01
5,1,199203,1.24,42.1,-0.11,1.63,0.17,1.27,0,710,0.64,0.28,0.08,0.99,1.35,0.78,1.17,28,56.3,1992-03-01
5,1,199204,0.55,51.7,-0.93,0.63,-2.5,-0.84,0,399,-1.51,-0.44,-0.65,0.5,0.63,0.61,0.89,35.6,67.8,1992-04-01
5,1,199205,1.28,58,-1.57,-1.57,-2.21,-1.57,12,229,-0.67,-1.3,-0.83,-0.84,-0.12,0.58,0.55,43.7,72.3,1992-05-01
5,1,199206,3.29,63,1.14,1.14,3.42,1.14,50,110,1.55,0.67,0.02,-0.01,0.52,0.92,1.16,49.2,76.9,1992-06-01
5,1,199207,2.86,68.9,1.69,1.69,2,1.69,133,12,0.49,1.45,0.78,0.23,0.8,0.89,0.79,54.5,83.3,1992-07-01
5,1,199208,3.54,66.6,3.02,3.02,4.51,3.02,84,34,1.49,1.27,1.87,0.77,0.73,1,1.19,52.4,80.8,1992-08-01
5,1,199209,0.34,62.6,2.02,2.02,-2.05,1.12,39,111,-1.45,0.45,0.56,0.31,0.3,0.72,0.73,46.2,79,1992-09-01
5,1,199210,0.39,52.1,1.38,1.38,-1.3,-0.06,0,400,-0.76,-1.67,0.02,0.48,0.13,0.63,0.53,35.5,68.7,1992-10-01
5,1,199211,1.56,31.6,2.35,2.35,3.34,2.17,0,1002,1.65,0.53,-0.34,1.2,0.49,0.46,0.65,20,43.1,1992-11-01
5,1,199212,0.48,26.7,2.21,2.21,0.29,2.08,0,1187,-0.01,1.39,0.38,0.56,0.38,0.35,0.69,14.5,38.9,1992-12-01
5,1,199301,0.52,26.3,2.13,2.13,0.45,2.12,0,1200,0.38,0.11,1.4,0.54,0.79,0.41,0.74,14.4,38.1,1993-01-01
5,1,199302,0.92,29.1,2.47,2.47,1.69,2.47,0,1005,1.08,1.01,0.66,-0.04,1.28,0.58,0.94,17,41.1,1993-02-01
5,1,199303,1.43,39.8,2.64,2.64,1.28,2.64,0,781,0.93,1.27,1.2,0.91,0.91,0.66,1.05,26.3,53.3,1993-03-01
5,1,199304,1.18,46.8,2.36,2.36,-0.04,2.28,0,546,-0.05,0.31,0.52,0.92,0.59,0.83,1.08,32.4,61.1,1993-04-01
5,1,199305,2.41,56.3,2.53,2.53,1.24,2.53,7,276,0.49,0.19,0.4,0.57,0.24,1.1,1.22,42.2,70.4,1993-05-01
5,1,199306,1.51,65.6,2.66,2.66,1.17,2.66,88,70,-0.05,0.24,0.01,0.4,0.46,0.62,1.12,50.3,81,1993-06-01
5,1,199307,1.3,71.4,2,2,-1.15,1.45,202,0,-1.36,-1.09,-0.55,-0.16,0.27,0.14,0.68,55.9,86.9,1993-07-01
5,1,199308,3.5,68.2,3.13,3.13,4,3.13,117,18,1.45,0.12,-0.02,0.18,0.36,0.12,0.73,54.7,81.6,1993-08-01
5,1,199309,1.1,58.7,2.88,2.88,0.22,2.88,11,200,0.01,1.04,0.04,-0.04,0.32,0.39,0.71,43.2,74.1,1993-09-01
5,1,199310,1.19,48.4,2.98,2.98,1.2,2.98,0,515,0.51,0.25,0.97,0.19,0.36,0.66,0.8,33.5,63.3,1993-10-01
5,1,199311,1.06,32.9,3.3,3.3,1.88,3.3,0,963,1,0.82,0.57,0.23,0.37,0.49,0.56,19.1,46.8,1993-11-01
5,1,199312,0.25,31.9,2.78,2.78,-0.55,2.5,0,1026,-0.9,0.36,0.44,0.19,0.09,0.39,0.47,17.9,45.9,1993-12-01
5,1,199401,0.53,30.6,2.6,2.6,0.32,2.39,0,1066,0.41,-0.43,0.41,0.99,0.23,0.39,0.51,15.7,45.6,1994-01-01
5,1,199402,0.19,30.6,2.11,2.11,-0.67,1.57,0,963,-1.4,-0.59,-1.05,0.04,-0.05,0.12,0.46,15.4,45.8,1994-02-01
5,1,199403,1.13,41.9,1.79,1.79,-0.28,1.1,0,716,0.46,-0.23,-0.08,0.22,0.11,0.05,0.43,26.5,57.3,1994-03-01
5,1,199404,2.11,47,2.15,2.15,1.63,2.03,0,540,0.77,0.74,0.45,0.47,0.86,0.36,0.87,32.4,61.5,1994-04-01
5,1,199405,2.81,58.8,2.38,2.38,1.33,2.38,15,207,0.82,0.92,0.91,0.6,0.68,0.48,1.15,45.1,72.5,1994-05-01
5,1,199406,1.62,70.8,2.17,2.17,0.1,2.14,191,17,0.08,0.58,0.73,0.59,0.65,0.52,0.82,54.4,87.1,1994-06-01
5,1,199407,1.58,70.8,1.51,1.51,-1.31,0.84,185,0,-0.96,-0.75,-0.03,0.15,0.26,0.63,0.49,54.3,87.3,1994-07-01
5,1,199408,3.52,71.3,2.43,2.43,3.24,2.43,200,0,1.47,0.34,0.23,0.77,0.55,0.66,0.5,56.8,85.9,1994-08-01
5,1,199409,0.81,62.8,1.78,1.78,-1.21,1.19,42,108,-0.45,0.82,0.04,0.55,0.48,0.56,0.6,47.2,78.5,1994-09-01
5,1,199410,1.76,50.3,2.39,2.39,2.38,2.39,0,456,1.1,0.49,1.13,0.65,0.7,0.74,0.88,36.1,64.6,1994-10-01
5,1,199411,1.01,37.5,2.52,2.52,1.15,2.52,0,825,0.93,1.26,0.74,0.51,0.93,0.72,0.76,24.4,50.6,1994-11-01
5,1,199412,0.27,34.4,1.97,1.97,-0.88,1.53,0,949,-0.8,0.31,0.92,0.45,0.8,0.72,0.75,20.3,48.6,1994-12-01
5,1,199501,0.41,31.6,1.69,1.69,-0.23,1.1,0,1035,-0.02,-0.71,0.17,1.07,0.6,0.67,0.71,18,45.2,1995-01-01
5,1,199502,0.42,37.4,1.17,1.17,-1.03,0.11,0,773,-0.18,-0.26,-0.76,0.31,0.27,0.74,0.58,22,52.8,1995-02-01
5,1,199503,1.35,39.6,1.2,1.2,0.44,0.32,0,787,0.81,0.49,0.37,0.86,0.51,0.83,0.57,25.7,53.6,1995-03-01
5,1,199504,2.53,43.1,2.17,2.17,3.27,2.17,0,657,1.04,1.11,1.01,0.87,1.25,0.92,0.95,29.5,56.7,1995-04-01
5,1,199505,4.42,51.5,4.01,4.01,6.2,4.01,0,418,1.93,1.77,1.82,1.52,1.56,1.31,1.31,39.5,63.4,1995-05-01
5,1,199506,3.29,63,5.7,5.7,6.3,5.7,50,110,1.55,2.31,2.19,2.12,2.12,1.78,1.7,49.2,76.9,1995-06-01
5,1,199507,1.93,69.5,6.13,6.13,3.05,6.13,149,9,-0.52,0.82,1.82,1.87,1.72,2,1.86,54,84.9,1995-07-01
5,1,199508,1.57,73.1,5.67,5.67,0.52,5.67,251,0,-0.78,-0.92,0.27,1.67,1.41,1.53,1.43,57.4,88.7,1995-08-01
5,1,199509,1.42,61,5.48,5.48,1.18,5.48,24,144,0.44,-0.35,-0.61,1.57,1.56,1.69,1.52,46.4,75.5,1995-09-01
