"STATION","STATION_NAME","ELEVATION","LATITUDE","LONGITUDE","DATE","HPCP","Measurement.Flag","Quality.Flag","DateTime"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480801 01:00",0,"g"," ","1948-08-01 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480802 15:00",0.05," "," ","1948-08-02 15:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480803 09:00",0.01," "," ","1948-08-03 09:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480803 14:00",0.03," "," ","1948-08-03 14:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480803 15:00",0.03," "," ","1948-08-03 15:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480804 01:00",0.05," "," ","1948-08-04 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480804 02:00",0.02," "," ","1948-08-04 02:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480804 04:00",0.01," "," ","1948-08-04 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480804 05:00",0.01," "," ","1948-08-04 05:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480804 14:00",0.01," "," ","1948-08-04 14:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480804 15:00",0.02," "," ","1948-08-04 15:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480804 16:00",0.02," "," ","1948-08-04 16:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480805 18:00",0.02," "," ","1948-08-05 18:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480814 15:00",0.02," "," ","1948-08-14 15:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480814 16:00",0.01," "," ","1948-08-14 16:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480819 15:00",0.02," "," ","1948-08-19 15:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480819 16:00",0.01," "," ","1948-08-19 16:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480821 13:00",NA,"a"," ","1948-08-21 13:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480828 18:00",0.02,"A"," ","1948-08-28 18:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480901 01:00",0,"g"," ","1948-09-01 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480907 02:00",0.02," "," ","1948-09-07 02:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480907 03:00",0.01," "," ","1948-09-07 03:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480907 04:00",0.02," "," ","1948-09-07 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480907 20:00",0.09," "," ","1948-09-07 20:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480907 21:00",0.08," "," ","1948-09-07 21:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480907 22:00",0.03," "," ","1948-09-07 22:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480907 23:00",0.04," "," ","1948-09-07 23:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480908 01:00",0.01," "," ","1948-09-08 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480908 04:00",0.01," "," ","1948-09-08 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480908 05:00",0.01," "," ","1948-09-08 05:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480919 18:00",0.26," "," ","1948-09-19 18:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480919 22:00",0.1," "," ","1948-09-19 22:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480919 23:00",0.05," "," ","1948-09-19 23:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480920 01:00",0.05," "," ","1948-09-20 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480920 04:00",0.01," "," ","1948-09-20 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480920 06:00",0.03," "," ","1948-09-20 06:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19480920 07:00",0.01," "," ","1948-09-20 07:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481001 01:00",0,"g"," ","1948-10-01 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481016 05:00",NA,"a"," ","1948-10-16 05:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481016 19:00",0.55,"A"," ","1948-10-16 19:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481101 01:00",0,"g"," ","1948-11-01 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481103 21:00",NA,"a"," ","1948-11-03 21:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481104 00:00",0.03,"A"," ","1948-11-04 00:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481107 14:00",NA,"a"," ","1948-11-07 14:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481108 08:00",0.37,"A"," ","1948-11-08 08:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481110 21:00",0.02," "," ","1948-11-10 21:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481110 22:00",0.07," "," ","1948-11-10 22:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481110 23:00",0.07," "," ","1948-11-10 23:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481111 00:00",0.1," "," ","1948-11-11 00:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481111 01:00",0.07," "," ","1948-11-11 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481111 02:00",0.08," "," ","1948-11-11 02:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481111 03:00",0.09," "," ","1948-11-11 03:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481111 04:00",0.04," "," ","1948-11-11 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481111 05:00",0.03," "," ","1948-11-11 05:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481121 04:00",0.01," "," ","1948-11-21 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481121 06:00",0.01," "," ","1948-11-21 06:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481201 01:00",0,"g"," ","1948-12-01 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481221 04:00",0.01," "," ","1948-12-21 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481221 10:00",0.01," "," ","1948-12-21 10:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481221 12:00",0.01," "," ","1948-12-21 12:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481221 18:00",0.01," "," ","1948-12-21 18:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481221 20:00",0.01," "," ","1948-12-21 20:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481221 21:00",0.01," "," ","1948-12-21 21:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481222 03:00",0.01," "," ","1948-12-22 03:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481222 04:00",0.01," "," ","1948-12-22 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481222 05:00",0.01," "," ","1948-12-22 05:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481222 15:00",0.01," "," ","1948-12-22 15:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481222 17:00",0.03," "," ","1948-12-22 17:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481222 18:00",0.02," "," ","1948-12-22 18:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481222 19:00",0.01," "," ","1948-12-22 19:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481222 20:00",0.02," "," ","1948-12-22 20:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481222 21:00",0.01," "," ","1948-12-22 21:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481223 01:00",0.01," "," ","1948-12-23 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481223 07:00",NA,"["," ","1948-12-23 07:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19481224 00:00",NA,"]"," ","1948-12-24 00:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490101 01:00",0,"g"," ","1949-01-01 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490102 01:00",NA,"["," ","1949-01-02 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490108 14:00",NA,"]"," ","1949-01-08 14:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490109 04:00",0.01," "," ","1949-01-09 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490109 05:00",0.01," "," ","1949-01-09 05:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490109 09:00",0.01," "," ","1949-01-09 09:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490109 10:00",0.01," "," ","1949-01-09 10:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490109 11:00",0.02," "," ","1949-01-09 11:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490109 16:00",0.01," "," ","1949-01-09 16:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490110 04:00",0.01," "," ","1949-01-10 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490110 05:00",0.01," "," ","1949-01-10 05:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490110 15:00",0.01," "," ","1949-01-10 15:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490123 22:00",0.01," "," ","1949-01-23 22:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490124 00:00",0.01," "," ","1949-01-24 00:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490124 05:00",0.01," "," ","1949-01-24 05:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490124 09:00",0.01," "," ","1949-01-24 09:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490127 10:00",0.02," "," ","1949-01-27 10:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490127 11:00",0.01," "," ","1949-01-27 11:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490127 12:00",0.01," "," ","1949-01-27 12:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490127 19:00",0.02," "," ","1949-01-27 19:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490127 20:00",0.01," "," ","1949-01-27 20:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490127 21:00",0.02," "," ","1949-01-27 21:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490127 22:00",0.02," "," ","1949-01-27 22:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490127 23:00",0.02," "," ","1949-01-27 23:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490128 00:00",0.02," "," ","1949-01-28 00:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490128 01:00",0.03," "," ","1949-01-28 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490128 02:00",0.06," "," ","1949-01-28 02:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490128 03:00",0.02," "," ","1949-01-28 03:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490128 04:00",0.03," "," ","1949-01-28 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490128 05:00",0.01," "," ","1949-01-28 05:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490128 06:00",0.02," "," ","1949-01-28 06:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490128 07:00",0.03," "," ","1949-01-28 07:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490128 08:00",0.01," "," ","1949-01-28 08:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490128 09:00",0.01," "," ","1949-01-28 09:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490128 10:00",0.01," "," ","1949-01-28 10:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490201 01:00",0,"g"," ","1949-02-01 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490212 17:00",0.01," "," ","1949-02-12 17:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490212 20:00",0.01," "," ","1949-02-12 20:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490212 21:00",0.01," "," ","1949-02-12 21:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490212 23:00",0.01," "," ","1949-02-12 23:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490213 00:00",0.01," "," ","1949-02-13 00:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490213 02:00",0.01," "," ","1949-02-13 02:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490213 03:00",0.01," "," ","1949-02-13 03:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490213 08:00",0.01," "," ","1949-02-13 08:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490301 00:00",0.02," "," ","1949-03-01 00:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490301 01:00",0.03," "," ","1949-03-01 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490301 02:00",0.02," "," ","1949-03-01 02:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490305 19:00",NA,"a"," ","1949-03-05 19:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490305 23:00",0.17,"A"," ","1949-03-05 23:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490307 22:00",0.03," "," ","1949-03-07 22:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490307 23:00",0.28," "," ","1949-03-07 23:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490308 00:00",0.08," "," ","1949-03-08 00:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490308 01:00",0.01," "," ","1949-03-08 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490308 02:00",0.01," "," ","1949-03-08 02:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490308 03:00",0.02," "," ","1949-03-08 03:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490308 16:00",0.08," "," ","1949-03-08 16:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490308 17:00",0.06," "," ","1949-03-08 17:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490308 18:00",0.04," "," ","1949-03-08 18:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490308 19:00",0.06," "," ","1949-03-08 19:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490308 20:00",0.03," "," ","1949-03-08 20:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490308 21:00",0.02," "," ","1949-03-08 21:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490309 01:00",0.01," "," ","1949-03-09 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490309 02:00",0.01," "," ","1949-03-09 02:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490309 04:00",0.01," "," ","1949-03-09 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490312 20:00",0.01," "," ","1949-03-12 20:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490312 21:00",0.02," "," ","1949-03-12 21:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490312 22:00",0.03," "," ","1949-03-12 22:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490312 23:00",0.01," "," ","1949-03-12 23:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490313 01:00",0.01," "," ","1949-03-13 01:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490323 21:00",0.03," "," ","1949-03-23 21:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490323 22:00",0.04," "," ","1949-03-23 22:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490323 23:00",0.02," "," ","1949-03-23 23:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490324 00:00",0.01," "," ","1949-03-24 00:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490324 02:00",0.02," "," ","1949-03-24 02:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490324 03:00",0.01," "," ","1949-03-24 03:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490324 04:00",0.01," "," ","1949-03-24 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 03:00",0.01," "," ","1949-03-28 03:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 04:00",0.03," "," ","1949-03-28 04:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 05:00",0.01," "," ","1949-03-28 05:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 06:00",0.04," "," ","1949-03-28 06:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 07:00",0.06," "," ","1949-03-28 07:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 08:00",0.06," "," ","1949-03-28 08:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 09:00",0.02," "," ","1949-03-28 09:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 10:00",0.01," "," ","1949-03-28 10:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 11:00",0.02," "," ","1949-03-28 11:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 12:00",0.01," "," ","1949-03-28 12:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 13:00",0.02," "," ","1949-03-28 13:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 14:00",0.02," "," ","1949-03-28 14:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 15:00",0.03," "," ","1949-03-28 15:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 16:00",0.01," "," ","1949-03-28 16:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 17:00",0.03," "," ","1949-03-28 17:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 18:00",0.01," "," ","1949-03-28 18:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 19:00",0.03," "," ","1949-03-28 19:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 20:00",0.05," "," ","1949-03-28 20:00:00"
"COOP:050843","BOULDER 2 CO US","unknown","unknown","unknown","19490328 21:00",0.05," "," ","1949-03-28 21:00:00"
