"species","niche","frond_length_cm.mean","stipe_length_cm.mean","laminalength_cm.mean","lamina_area_cm2.mean","chl_mg_m2.mean","frond_length_cm.se","stipe_length_cm.se","laminalength_cm.se","lamina_area_cm2.se","chl_mg_m2.se"
"asplenium_auritum","epiphyte",31.3166666666667,9.95,21.3666666666667,45.1833333333333,333.666666666667,3.01124743438847,1.52288104153498,1.80382310046683,6.44977605123706,27.2869525190663
"asplenium_juglandifolia","epiphyte",35.5,11.1,24.4,61.86,117.2,11.2427754580442,5.77148161220323,5.70613704707484,20.3822373649214,37.3355058891667
"asplenium_serratum","epiphyte",62.6666666666667,0,62.6666666666667,347.666666666667,520.666666666667,5.09029577835229,0,5.09029577835229,57.6556829616802,34.7991059910708
"blechnum_occidentale ","terrestrial",73.4333333333333,25.0166666666667,48.4166666666667,197.966666666667,474.333333333333,7.2618944574478,2.63949700595482,6.49581489199863,12.7828183294782,35.4096659747652
"campylonerum_brevifolia","epiphyte",93.0833333333333,12.5,80.5833333333333,569.666666666667,510,8.79812164296701,1.20415945787923,8.24461103455531,88.4773668485023,23.2751655919638
"cyclopeltis_semicordata","terrestrial",108.05,17.075,90.975,776.5,427.5,5.65107448695758,1.86248202292379,4.87181214451343,43.0091352422449,29.0584386563156
"diplazium_straitastrum","terrestrial",100.733333333333,21.0666666666667,79.6666666666667,71,468.666666666667,3.04758556529227,0.91712109947984,2.77688874662114,7.14609450445953,7.99861099052691
"elaphoglossum_amygdalifolium","hemi-epiphyte",18.3833333333333,2.63333333333333,15.75,26.6333333333333,496.5,1.1734327609388,0.626453864577787,1.03303759208785,2.09851799558112,47.9303313849035
"elaphoglossum_herminieri","epiphyte",43.8,0,43.8,84.3166666666667,731,4.95573741569641,0,4.95573741569641,11.2533970179873,98.8146412903135
"elaphoglossum_latifolia","epiphyte",26.7666666666667,5.88333333333333,20.8833333333333,67,460.333333333333,2.04265622277574,1.18979456676819,1.4272156264715,7.00699650349563,51.437772545518
"lomariopsis_japurensis","hemi-epiphyte",90.85,8.33333333333333,82.5166666666667,983.116666666667,500.666666666667,6.38000783698578,2.32975916733421,7.09428956587229,102.180942178297,47.5609550413408
"mickelia_nicotianifolia","terrestrial",57.4833333333333,17.15,40.3333333333333,372.8,466.833333333333,1.96933434890518,1.37810256028594,2.05307357664335,39.7750508065881,69.8366745421853
"nephrolepis biserrata","terrestrial",103.416666666667,17.1666666666667,86.25,711.566666666667,395,12.7443429716003,2.73589311032268,10.5902392166875,101.45197440716,15.9874951133691
"nephrolepis_rivularis","epiphyte",46.0833333333333,6.6,39.4833333333333,204.483333333333,389.833333333333,1.6926146768962,1.04115320678563,1.25735613270244,87.9325022073434,27.5903566083836
"oleandra_articulata","epiphyte",44.1333333333333,10.3333333333333,33.8,95.6666666666667,339.833333333333,2.82968392424156,0.458742241835701,2.95849060614812,10.6134087099501,38.2922243339878
"pecluma_pectinata","epiphyte",49.1833333333333,6.8,42.3833333333333,125.933333333333,393,5.87636036259785,1.00995049383621,4.98273129027756,23.3023127130716,34.2714652930588
"phlebodium_aurem","epiphyte",85.8833333333333,37.9166666666667,47.9666666666667,682.728333333333,342.166666666667,9.38454107088413,3.0463548345158,8.12135730308946,187.87954386462,30.5847638175903
"pleopeltis_bradeorum","epiphyte",36.75,11.2666666666667,25.4833333333333,115.566666666667,590.5,3.28894613313546,1.37735656643845,2.03722305547964,13.3096873658917,53.4139494888742
"polybotrya_osmundacea","terrestrial",97.3166666666667,26.8,70.5166666666667,1213.05,570.166666666667,2.87488164007572,2.84265134454908,3.15609639340189,80.2779120721676,13.898241295614
"salpichlaena_volubilis","terrestrial",65.5,30.5,35,468.5,550.25,5.26782687642637,5.07444578254611,1.87082869338697,42.1613962450644,39.6723560345656
"serpocaulon_loriciforme","epiphyte",56.2833333333333,7.68333333333333,48.6,201.85,282.166666666667,2.72878686924754,0.790534277842805,2.14833268683724,17.4777334533591,17.4421265268252
"tectaria_incisa","terrestrial",86.5,36.6666666666667,49.8333333333333,700.416666666667,304,5.82952256478464,2.51219249085557,4.19059794195424,78.7351442777902,43.6608138571267
"thelypteris_curtii","terrestrial",98.0833333333333,32,66.0833333333333,527.3,474,2.70929470116814,4.10690475500305,5.88418313031734,70.8575331210451,38.5097390279394
"thelypteris_dentata","terrestrial",88.9,26.9,62,468.24,394.8,2.38579127335146,3.12409987036266,2.69759151837338,49.0786776512978,16.8327062589472
"thelypteris_nicaraguensis","terrestrial",88.5,48.5833333333333,39.9166666666667,528,685.666666666667,10.2168162033646,5.94196469565786,4.57605482678888,59.3588184967772,29.11776853477
